fk_modelo,fk_zona,fk_empresa,timestamp,evento
1,1,1,2025-11-17 19:28:18.404067,Processo fora da whitelist morto: spotify
1,1,1,2025-11-17 19:28:18.407129,Processo fora da whitelist morto: fontdrvhost
1,1,1,2025-11-17 19:28:18.410199,Processo fora da whitelist morto: fontdrvhost
1,1,1,2025-11-17 19:28:18.413528,Processo fora da whitelist morto: services
1,1,1,2025-11-17 19:28:18.416397,Processo fora da whitelist morto: lsass
1,1,1,2025-11-17 19:28:18.419479,Processo fora da whitelist morto: avastui
1,1,1,2025-11-17 19:28:18.422586,Processo fora da whitelist morto: avastui
1,1,1,2025-11-17 19:28:18.425596,Processo fora da whitelist morto: avastui
1,1,1,2025-11-17 19:28:18.428581,Processo fora da whitelist morto: avastui
1,1,1,2025-11-17 19:28:18.431668,Processo fora da whitelist morto: powershell
1,1,1,2025-11-17 19:28:18.434656,Processo fora da whitelist morto: powershell
1,1,1,2025-11-17 19:28:18.437692,Processo fora da whitelist morto: powershell
1,1,1,2025-11-17 19:28:18.440873,Processo fora da whitelist morto: iedsearch
1,1,1,2025-11-17 19:28:18.443929,Processo fora da whitelist morto: backgroundtaskhost
1,1,1,2025-11-17 19:28:18.446835,Processo fora da whitelist morto: wmiprvse
1,1,1,2025-11-17 19:28:18.449863,Processo fora da whitelist morto: wmiprvse
1,1,1,2025-11-17 19:28:18.452890,Processo fora da whitelist morto: wmiprvse
1,1,1,2025-11-17 19:28:18.455854,Processo fora da whitelist morto: amdfendrsr
1,1,1,2025-11-17 19:28:18.458976,Processo fora da whitelist morto: asuscertservice
1,1,1,2025-11-17 19:28:18.461909,Processo fora da whitelist morto: mysqlworkbench
1,1,1,2025-11-17 19:28:18.464957,Processo fora da whitelist morto: steamwebhelper
1,1,1,2025-11-17 19:28:18.467998,Processo fora da whitelist morto: steamwebhelper
1,1,1,2025-11-17 19:28:18.471045,Processo fora da whitelist morto: steamwebhelper
1,1,1,2025-11-17 19:28:18.474051,Processo fora da whitelist morto: steamwebhelper
1,1,1,2025-11-17 19:28:18.477208,Processo fora da whitelist morto: steamwebhelper
1,1,1,2025-11-17 19:28:18.480330,Processo fora da whitelist morto: steamwebhelper
1,1,1,2025-11-17 19:28:18.483384,Processo fora da whitelist morto: steamwebhelper
1,1,1,2025-11-17 19:28:18.486376,Processo fora da whitelist morto: memcompression
1,1,1,2025-11-17 19:28:18.489425,Processo fora da whitelist morto: conhost
1,1,1,2025-11-17 19:28:18.492417,Processo fora da whitelist morto: conhost
1,1,1,2025-11-17 19:28:18.495363,Processo fora da whitelist morto: conhost
1,1,1,2025-11-17 19:28:18.498959,Processo fora da whitelist morto: conhost
1,1,1,2025-11-17 19:28:18.502,Processo fora da whitelist morto: conhost
1,1,1,2025-11-17 19:28:18.505011,Processo fora da whitelist morto: conhost
1,1,1,2025-11-17 19:28:18.508116,Processo fora da whitelist morto: conhost
1,1,1,2025-11-17 19:28:18.511130,Processo fora da whitelist morto: conhost
1,1,1,2025-11-17 19:28:18.514151,Processo fora da whitelist morto: conhost
1,1,1,2025-11-17 19:28:18.517657,Processo fora da whitelist morto: pet
1,1,1,2025-11-17 19:28:18.520715,Processo fora da whitelist morto: lightshot
1,1,1,2025-11-17 19:28:18.523744,Processo fora da whitelist morto: atkexcomsvc
1,1,1,2025-11-17 19:28:18.526851,Processo fora da whitelist morto: armouryaiofanserver
1,1,1,2025-11-17 19:28:18.529862,Processo fora da whitelist morto: jucheck
1,1,1,2025-11-17 19:28:18.532872,Processo fora da whitelist morto: dllhost
1,1,1,2025-11-17 19:28:18.535886,Processo fora da whitelist morto: dllhost
1,1,1,2025-11-17 19:28:18.538852,Processo fora da whitelist morto: dllhost
1,1,1,2025-11-17 19:28:18.541947,Processo fora da whitelist morto: avastsvc
1,1,1,2025-11-17 19:28:18.544988,Processo fora da whitelist morto: rtkngui64
1,1,1,2025-11-17 19:28:18.548041,Processo fora da whitelist morto: runtimebroker
1,1,1,2025-11-17 19:28:18.550942,Processo fora da whitelist morto: runtimebroker
1,1,1,2025-11-17 19:28:18.554193,Processo fora da whitelist morto: runtimebroker
1,1,1,2025-11-17 19:28:18.557357,Processo fora da whitelist morto: runtimebroker
1,1,1,2025-11-17 19:28:18.560465,Processo fora da whitelist morto: runtimebroker
1,1,1,2025-11-17 19:28:18.563338,Processo fora da whitelist morto: runtimebroker
1,1,1,2025-11-17 19:28:18.566252,Processo fora da whitelist morto: runtimebroker
1,1,1,2025-11-17 19:28:18.569317,Processo fora da whitelist morto: runtimebroker
1,1,1,2025-11-17 19:28:18.572308,Processo fora da whitelist morto: steamservice
1,1,1,2025-11-17 19:28:18.575279,Processo fora da whitelist morto: armouryswagent
1,1,1,2025-11-17 19:28:18.578385,Processo fora da whitelist morto: textinputhost
1,1,1,2025-11-17 19:28:18.581419,Processo fora da whitelist morto: onenotem
